g,0326,ἀναζάω,Verb,anazaó,(an-ad-zah'-o),to live again,"be alive again, be resurrected. ","To recover life (literally or figuratively) -- (be a-)live again, revive. "
g,0327,ἀναζητέω,Verb,anazéteó,(an-ad-zay-teh'-o),to seek carefully,seek. ,From  (G303) ana and  (G2212) zeteo; to search out -- seek. <p>see GREEK  (G303) ana <p>see GREEK  (G2212) zeteo
g,0328,ἀναζώννυμι,Verb,anazónnumi,(an-ad-zone'-noo-mee),to gird up,gird up. ,From  (G303) ana and  (G2224) zonnumi; to gird afresh -- gird up. <p>see GREEK  (G303) ana <p>see GREEK  (G2224) zonnumi
g,0329,ἀναζωπυρέω,Verb,anazópureó,(an-ad-zo-poor-eh'-o),to kindle afresh,stir up. ,From  (G303) ana and a compound of the base of  (G2226) zoon and  (G4442) pur; to re-enkindle -- stir up. <p>see GREEK  (G303) ana <p>see GREEK  (G2226) zoon <p>see GREEK  (G4442) pur
g,0330,ἀναθάλλω,Verb,anathalló,(an-ath-al'-lo),to revive,"flourish again, revive",From  (G303) ana and thallo (to flourish); to revive -- flourish again. <p>see GREEK  (G303) ana
g,0331,"ἀνάθεμα, ατος, τό","Noun, Neuter",anathema,(an-ath'-em-ah),"that which is laid up, a votive offering","accused, anathema, curse. ","From  (G394) anatithemai; a (religious) ban or (concretely) excommunicated (thing or person) -- accused, anathema, curse, X great. <p>see GREEK  (G394) anatithemai "
g,0332,ἀναθεματίζω,Verb,anathematizó,(an-ath-em-at-id'-zo),"to declare anathema, devote to destruction","curse, bind with an oath. ","From  (G331) anathema; to declare or vow under penalty of execration -- (bind under a) curse, bind with an oath. <p>see GREEK  (G331) anathema "
g,0333,ἀναθεωρέω,Verb,anatheóreó,(an-ath-eh-o-reh'-o),to observe carefully,"behold, consider. ","From  (G303) ana and  (G2334) theoreo; to look again (i.e. Attentively) at (literally or figuratively) -- behold, consider. <p>see GREEK  (G303) ana <p>see GREEK  (G2334) theoreo "
g,0334,"ἀνάθημα, ατος, τό","Noun, Neuter",anathéma,(an-ath'-ay-mah),a gift set up (in a temple),"votive offering, gift. ","From  (G394) anatithemai (like  (G331) anathema, but in a good sense); a votive offering -- gift. <p>see GREEK  (G394) anatithemai <p>see GREEK  (G331) anathema "
g,0335,"ἀναίδεια, ας, ἡ","Noun, Feminine",anaideia,(an-ah'-ee-die-ah'),shamelessness,"importunity, shamelessness.","From a compound of  (G1) a (as a negative particle (compare  (G427) aneu)) and  (G127) aidos; impudence, i.e. (by implication) importunity -- importunity. <p>see GREEK  (G1) a <p>see GREEK  (G427) aneu <p>see GREEK  (G127) aidos "
g,0336,"ἀναίρεσις, εως, ἡ","Noun, Feminine",anairesis,(an-ah'-ee-res-is),"a taking up, a destroying, slaying","murder, death. ",From  (G337) anaireo; (the act of) killing -- death. <p>see GREEK  (G337) anaireo
g,0337,ἀναιρέω,Verb,anaireó,(an-ahee-reh'-o),"to take up, take away, make an end","put to death, kill, slay, take up. ","From  (G303) ana and (the active of)  (G138) haireomai; to take up, i.e. Adopt; by implication, to take away (violently), i.e. Abolish, murder -- put to death, kill, slay, take away, take up. <p>see GREEK  (G303) ana <p>see GREEK  (G138) haireomai "
