h,4000,מָבוֹן,Verb,mabonim,(maw-bone'),taught ,taught ,From (H995) biyn; instructing -- taught. see HEBREW (H995) biyn
h,4001,מְבוּסָה,Noun Feminine,mebusah,(meb-oo-saw'),"a treading down, subjugation",treading trodden down under foot ,From (H947) buwc; a trampling -- treading (trodden) down (under foot). see HEBREW (H947) buwc
h,4002,מַבּוּעַ,Noun Masculine,mabbua,(mab-boo'-ah),a spring (of water),"fountain, spring ","From (H5042) naba'; a fountain -- fountain, spring. see HEBREW (H5042) naba' "
h,4003,מְבוּקָה,Noun Feminine,mebuqah,(meb-oo-kah'),emptiness,void ,From the same as (H950) buwqah; emptiness -- void. see HEBREW (H950) buwqah
h,4004,מִבְחוֹר,Noun Masculine,mibchor,(mib-khore'),choice,choice ,"From (H977) bachar; select, i.e. Well fortified -- choice. see HEBREW (H977) bachar "
h,4005,מִבְחָר,Noun Masculine,mibchar,(mib-khawr'),"choicest, best","choicest, chosen ","From (H977) bachar; select, i.e. Best -- choice(-st), chosen. see HEBREW (H977) bachar "
h,4006,מִבְחָר,Proper Name Masculine,Mibchar,(mib-khawr'),one of David\'s warriors,Mibhar ,"The same as (H4005) mibchar; Mibchar, an Israelite -- Mibhar. see HEBREW (H4005) mibchar "
h,4007,מַבָּט,Noun Masculine,mabbat or mebbat,(mab-bawt'),expectation,expectation ,"Or mebbat {meb-bawt'}; from (H5027) nabat; something expected, i.e. (abstractly) expectation -- expectation. see HEBREW (H5027) nabat "
h,4008,מִבְטָא,Noun Masculine,mibta,(mib-taw'),rash utterance,a rash utterance,From (H981) bata'; a rash utterance (hasty vow) -- (that which...) Uttered (out of). see HEBREW (H981) bata'
h,4009,מִבְטָח,Noun Masculine,mibtach,(mib-tawkh'),confidence,"confidence, hope, sure, trust ","From (H982) batach; properly, a refuge, i.e. (objective) security, or (subjective) assurance -- confidence, hope, sure, trust. see HEBREW (H982) batach "
h,4010,מַבְלִיגִית,Noun Feminine,mabligith,(mab-leeg-eeth'),"smiling, cheerfulness, source of brightening",comfort self ,From (H1082) balag; desistance (or rather desolation) -- comfort self. see HEBREW (H1082) balag
h,4011,מִבְנֶה,Noun Masculine,mibneh,(mib-neh'),structure,frame ,From (H1129) banah; a building -- frame. see HEBREW (H1129) banah
