g,3330,μεταδίδωμι,Verb,metadidómi,(met-ad-id'-o-mee),to give a share of,to give a share of,"From  (G3326) meta and  (G1325) didomi; to give over, i.e. Share -- give, impart. see GREEK  (G3326) meta see GREEK  (G1325) didomi "
g,3331,"μετάθεσις, εως, ἡ","Noun, Feminine",metathesis,(met-ath'-es-is),"a change, removal","change, removing, translation. ","From  (G3346) metatithemi; transposition, i.e. Transferral (to heaven), disestablishment (of a law) -- change, removing, translation. see GREEK  (G3346) metatithemi "
g,3332,μεταίρω,Verb,metairó,(met-ah'-ee-ro),"to remove, depart",depart. ,"From  (G3326) meta and  (G142) airo; to betake oneself, i.e. Remove (locally) -- depart. see GREEK  (G3326) meta see GREEK  (G142) airo "
g,3333,μετακαλέω,Verb,metakaleó,(met-ak-al-eh'-o),to call from one place to another,"to invite, summon, call","From  (G3326) meta and  (G2564) kaleo; to call elsewhere, i.e. Summon -- call (for, hither). see GREEK  (G3326) meta see GREEK  (G2564) kaleo "
g,3334,μετακινέω,Verb,metakineó,(met-ak-ee-neh'-o),"to move away, remove",move away. ,"From  (G3326) meta and  (G2795) kineo; to stir to a place elsewhere, i.e. Remove (figuratively) -- move away. see GREEK  (G3326) meta see GREEK  (G2795) kineo "
g,3335,μεταλαμβάνω,Verb,metalambanó,(met-al-am-ban'-o),to partake of,"to partake of, share","From  (G3326) meta and  (G2983) lambano; to participate; genitive case, to accept (and use) -- eat, have, be partaker, receive, take. see GREEK  (G3326) meta see GREEK  (G2983) lambano "
g,3336,"μετάληψις, εως, ἡ","Noun, Feminine",metalémpsis,(met-al'-ape-sis),"taking, receiving, sharing",sharing,From  (G3335) metalambano; participation -- taking. see GREEK  (G3335) metalambano
g,3337,μεταλλάσσω,Verb,metallassó,(met-al-las'-so),"to change, exchange",to exchange,From  (G3326) meta and  (G236) allasso; to exchange -- change. see GREEK  (G3326) meta see GREEK  (G236) allasso
g,3338,μεταμέλομαι,Verb,metamelomai,(met-am-el'-lom-ahee),"to regret, repent",repent ,"From  (G3326) meta and the middle voice of  (G3199) melo; to care afterwards, i.e. Regret -- repent (self). see GREEK  (G3326) meta see GREEK  (G3199) melo "
g,3339,μεταμορφόω,Verb,metamorphoó,(met-am-or-fo'-o),to transform,"change, transfigure, transform. ","From  (G3326) meta and  (G3445) morphoo; to transform (literally or figuratively, ""metamorphose"") -- change, transfigure, transform. see GREEK  (G3326) meta see GREEK  (G3445) morphoo "
g,3340,μετανοέω,Verb,metanoeó,(met-an-o-eh'-o),to change one\'s mind or purpose,repent. ,"From  (G3326) meta and  (G3539) noieo; to think differently or afterwards, i.e. Reconsider (morally, feel compunction) -- repent. see GREEK  (G3326) meta see GREEK  (G3539) noieo "
g,3341,"μετάνοια, ας, ἡ","Noun, Feminine",metanoia,(met-an'-oy-ah),"change of mind, repentance",repentance. ,"From  (G3340) metanoeo; (subjectively) compunction (for guilt, including reformation); by implication, reversal (of (another's) decision) -- repentance. see GREEK  (G3340) metanoeo "
g,3342,μεταξύ,Adverb,metaxu,(met-ax-oo'),"between, after","between, meanwhile ","From  (G3326) meta and a form of  (G4862) sun; betwixt (of place or person); (of time) as adjective, intervening, or (by implication) adjoining -- between, mean while, next. see GREEK  (G3326) meta see GREEK  (G4862) sun "
g,3343,μεταπέμπω,Verb,metapempó,(met-ap-emp'-o),to send after or for,"to send after, summon","From  (G3326) meta and  (G3992) pempo; to send from elsewhere, i.e. (middle voice) to summon or invite -- call (send) foreign see GREEK  (G3326) meta see GREEK  (G3992) pempo "
g,3344,μεταστρέφω,Verb,metastrephó,(met-as-tref'-o),"to turn (about), to pervert","pervert, turn. ","From  (G3326) meta and  (G4762) strepho; to turn across, i.e. Transmute or (figuratively) corrupt -- pervert, turn. see GREEK  (G3326) meta see GREEK  (G4762) strepho "
g,3345,μετασχηματίζω,Verb,metaschématizó,(met-askh-ay-mat-id'-zo),to change in fashion or appearance,"to transform, disguise","From  (G3326) meta and a derivative of  (G4976) schema; to transfigure or disguise; figuratively, to apply (by accommodation) -- transfer, transform (self). see GREEK  (G3326) meta see GREEK  (G4976) schema "
g,3346,μετατίθημι,Verb,metatithemi,(met-at-ith'-ay-mee),"to transfer, change","carry over, change, translate","From  (G3326) meta and  (G5087) tithemi; to transfer, i.e. (literally) transport, (by implication) exchange, (reflexively) change sides, or (figuratively) pervert -- carry over, change, remove, translate, turn. see GREEK  (G3326) meta see GREEK  (G5087) tithemi "
g,3347,μετέπειτα,Adverb,metepeita,(met-ep'-i-tah),afterwards,afterward. ,From  (G3326) meta and  (G1899) epeita; thereafter -- afterward. see GREEK  (G3326) meta see GREEK  (G1899) epeita
g,3348,μετέχω,Verb,metechó,(met-ekh'-o),"to partake of, share in","partake, take part, use. ","From  (G3326) meta and  (G2192) echo; to share or participate; by implication, belong to, eat (or drink) -- be partaker, pertain, take part, use. see GREEK  (G3326) meta see GREEK  (G2192) echo "
g,3349,μετεωρίζομαι,Verb,meteórizó,(met-eh-o-rid'-zo),"to raise on high, to be in suspense","to be anxious, worried","From a compound of  (G3326) meta and a collateral form of  (G142) airo or perhaps rather  (G109) aer (compare ""meteor""); to raise in mid-air, i.e. (figuratively) suspend (passively, fluctuate or be anxious) -- be of doubtful mind. see GREEK  (G3326) meta see GREEK  (G142) airo see GREEK  (G109) aer "
g,3350,"μετοικεσία, ας, ἡ","Noun, Feminine",metoikesia,(met-oy-kes-ee'-ah),change of abode,"change of residence, deportation","From a derivative of a compound of  (G3326) meta and  (G3624) oikos; a change of abode, i.e. (specially), expatriation -- X brought, carried(-ying) away (in-)to. see GREEK  (G3326) meta see GREEK  (G3624) oikos "
g,3351,μετοικίζω,Verb,metoikizó,(met-oy-kid'-zo),to cause to migrate,"carry away, remove, exile to","From the same as  (G3350) metoikesia; to transfer as a settler or captive, i.e colonize or exile -- carry away, remove into. see GREEK  (G3350) metoikesia "
g,3352,"μετοχή, ῆς, ἡ","Noun, Feminine",metoché,(met-okh-ay'),sharing,fellowship. ,"From  (G3348) metecho; participation, i.e. Intercourse -- fellowship. see GREEK  (G3348) metecho "
g,3353,"μέτοχος, ου, ὁ",Adjective,metochos,(met'-okh-os),sharing in,"fellow, partaker, partner. ","From  (G3348) metecho; participant, i.e. (as noun) a sharer; by implication, an associate -- fellow, partaker, partner. see GREEK  (G3348) metecho "
g,3354,μετρέω,Verb,metreó,(met-reh'-o),"to measure, measure out","estimate, measure, mete. ","From  (G3358) metron; to measure (i.e. Ascertain in size by a fixed standard); by implication, to admeasure (i.e. Allot by rule) -- figuratively, to estimate -- measure, mete. see GREEK  (G3358) metron "
g,3355,"μετρητής, οῦ, ὁ","Noun, Masculine",metrétés,(met-ray-tace'),"a measurer, a measure","firkin, a liquid measure","From  (G3354) metreo; a measurer, i.e. (specially), a certain standard measure of capacity for liquids -- firkin. see GREEK  (G3354) metreo "
g,3356,μετριοπαθέω,Verb,metriopatheó,(met-ree-op-ath-eh'-o),to hold one\'s emotions in restraint,have compassion. ,"From a compound of the base of  (G3357) metrios and  (G3806) pathos; to be moderate in passion, i.e. Gentle (to treat indulgently) -- have compassion. see GREEK  (G3357) metrios see GREEK  (G3806) pathos "
